cluster.size	125	250	500	1000	2000	4000	6000	8000	10000
1	0.954980692	0.954980692	0.954980692	0.954980692	0.954980692	0.954980692	0.954980692	0.954980692	0.954980692
2	0.029106402	0.029106402	0.029106402	0.029106402	0.029106402	0.029106402	0.029106402	0.029106402	0.029106402
3	0.006190808	0.006190808	0.006190808	0.006190808	0.006190808	0.006190808	0.006190808	0.006190808	0.006190808
4	0.002347221	0.002347221	0.002347221	0.002347221	0.002347221	0.002347221	0.002347221	0.002347221	0.002347221
5	0.001456437	0.001456437	0.001456437	0.001456437	0.001456437	0.001456437	0.001456437	0.001456437	0.001456437
6	0.001212588	0.001212588	0.001212588	0.001212588	0.001212588	0.001212588	0.001212588	0.001212588	0.001212588
7	0.000862264	0.000862264	0.000862264	0.000862264	0.000862264	0.000862264	0.000862264	0.000862264	0.000862264
8	0.000829941	0.000829941	0.000829941	0.000829941	0.000829941	0.000829941	0.000829941	0.000829941	0.000829941
9	0.000476289	0.000476289	0.000476289	0.000476289	0.000476289	0.000476289	0.000476289	0.000476289	0.000476289
10	0.000313723	0.000313723	0.000313723	0.000313723	0.000313723	0.000313723	0.000313723	0.000313723	0.000313723
11	0.000240521	0.000240521	0.000240521	0.000240521	0.000240521	0.000240521	0.000240521	0.000240521	0.000240521
12	0.00015401	0.00015401	0.00015401	0.00015401	0.00015401	0.00015401	0.00015401	0.00015401	0.00015401
13	7.70048e-05	7.70048e-05	7.70048e-05	7.70048e-05	7.70048e-05	7.70048e-05	7.70048e-05	7.70048e-05	7.70048e-05
14	7.41528e-05	7.41528e-05	7.41528e-05	7.41528e-05	7.41528e-05	7.41528e-05	7.41528e-05	7.41528e-05	7.41528e-05
15	9.50677e-05	9.50677e-05	9.50677e-05	9.50677e-05	9.50677e-05	9.50677e-05	9.50677e-05	9.50677e-05	9.50677e-05
16	8.55609e-05	8.55609e-05	8.55609e-05	8.55609e-05	8.55609e-05	8.55609e-05	8.55609e-05	8.55609e-05	8.55609e-05
17	9.50677e-05	9.50677e-05	9.50677e-05	9.50677e-05	9.50677e-05	9.50677e-05	9.50677e-05	9.50677e-05	9.50677e-05
18	8.55609e-05	8.55609e-05	8.55609e-05	8.55609e-05	8.55609e-05	8.55609e-05	8.55609e-05	8.55609e-05	8.55609e-05
19	0.000111229	0.000111229	0.000111229	0.000111229	0.000111229	0.000111229	0.000111229	0.000111229	0.000111229
20	8.08075e-05	8.08075e-05	8.08075e-05	8.08075e-05	8.08075e-05	8.08075e-05	8.08075e-05	8.08075e-05	8.08075e-05
21	9.60184e-05	9.60184e-05	9.60184e-05	9.60184e-05	9.60184e-05	9.60184e-05	9.60184e-05	9.60184e-05	9.60184e-05
22	7.51035e-05	7.51035e-05	7.51035e-05	7.51035e-05	7.51035e-05	7.51035e-05	7.51035e-05	7.51035e-05	7.51035e-05
23	8.46103e-05	8.46103e-05	8.46103e-05	8.46103e-05	8.46103e-05	8.46103e-05	8.46103e-05	8.46103e-05	8.46103e-05
24	8.36596e-05	8.36596e-05	8.36596e-05	8.36596e-05	8.36596e-05	8.36596e-05	8.36596e-05	8.36596e-05	8.36596e-05
25	5.22872e-05	5.22872e-05	5.22872e-05	5.22872e-05	5.22872e-05	5.22872e-05	5.22872e-05	5.22872e-05	5.22872e-05
26	3.80271e-05	3.80271e-05	3.80271e-05	3.80271e-05	3.80271e-05	3.80271e-05	3.80271e-05	3.80271e-05	3.80271e-05
27	2.56683e-05	2.56683e-05	2.56683e-05	2.56683e-05	2.56683e-05	2.56683e-05	2.56683e-05	2.56683e-05	2.56683e-05
